FOLDERYEAR;LicenceRSN;LicenceNumber;LicenceRevisionNumber;BusinessName;BusinessTradeName;Status;IssuedDate;ExpiredDate;BusinessType;BusinessSubType;Unit;UnitType;House;Street;City;Province;Country;PostalCode;LocalArea;NumberofEmployees;FeePaid;ExtractDate;Geom;geo_point_2d
25;4648358;25-140635;00;Runran (Helen) Wang (RUNRAN WANG);H.R.W. International Consulting;Issued;2024-12-01T00:18:42-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Mount Pleasant;3.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648375;25-140652;00;CYINTL CONSULTING CORP;;Issued;2024-12-31T18:42:57-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Downtown;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648381;25-140658;00;OSI CONSULTING CANADA LTD.;OSI Digital Inc.;Issued;2024-12-26T22:48:53-08:00;2025-12-31;Consulting and Management Services;;1500;Unit;701;W GEORGIA STREET;Vancouver;BC;;V7Y 1C6;Downtown;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648388;25-140665;00;Bayshore Consulting Inc;;Issued;2024-12-02T11:34:43-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;CA;;;2.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648404;25-140681;00;(Charlene Boucher);Flower Power Garden Design;Issued;2024-12-26T10:59:06-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;CA;;Grandview-Woodland;0.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648409;25-140686;00;CIRCULAR ECONOMY TECH INC.;;Issued;2024-12-09T13:29:32-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;West End;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648441;25-140718;00;DSC STUDIO CORP.;DSC Art Studio;Issued;2024-12-18T18:57:37-08:00;2025-12-31;Consulting and Management Services;;2nd;Floor;119;W BROADWAY;Vancouver;BC;;V5Y 1P4;Mount Pleasant;2.0;265.0;2025-03-02T00:09:35-08:00;"{""coordinates"": [-123.10736218172, 49.2632728517888], ""type"": ""Point""}";49.2632728517888, -123.10736218172
25;4648473;25-140750;00;1444396 B.C. LTD.;;Issued;2024-12-07T11:58:52-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Renfrew-Collingwood;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648529;25-140806;00;HR EDUCATIONAL CONSULTANCY LTD.;;Issued;2024-12-02T12:05:51-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Sunset;0.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648556;25-140833;00;YOUMECLE CONSULTING INC.;YOUMECLE CONSULTING INC.;Issued;2024-12-20T13:42:17-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;CA;;;2.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648576;25-140853;00;(Isobel McLean);IGM Design Consultants;Issued;2024-12-03T17:17:43-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Kitsilano;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648585;25-140862;00;(Irwin Oostindie);;Issued;2024-12-20T08:01:24-08:00;2025-12-31;Consulting and Management Services;;212;Unit;475;MAIN STREET;Vancouver;BC;;V6A 2T7;Downtown;7.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648586;25-140863;00;SWIFTWATER CONSULTING LTD.;;Issued;2024-12-06T07:38:00-08:00;2025-12-31;Consulting and Management Services;;1760;Unit;750;W PENDER STREET;Vancouver;BC;;V6C 2T8;Downtown;7.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648587;25-140864;00;WARTSILA CANADA INCORPORATED;;Issued;2024-12-10T09:55:55-08:00;2025-12-31;Consulting and Management Services;;500;Unit;353;Water Street;Vancouver;BC;;V6B 1B8;Downtown;28.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648600;25-140877;00;1480376 B.C. LTD.;;Issued;2024-12-12T14:50:57-08:00;2025-12-31;Consulting and Management Services;;230;Unit;1090;W GEORGIA STREET;Vancouver;BC;;V6E 3V7;West End;2.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648614;25-140891;00;VIVIEN LEE IMMIGRATION & BUSINESS CORPORATION;;Issued;2024-12-10T15:29:42-08:00;2025-12-31;Consulting and Management Services;;720;Unit;999;W BROADWAY;Vancouver;BC;;V5Z 1K5;Fairview;3.0;265.0;2025-03-02T00:09:35-08:00;"{""coordinates"": [-123.126104236733, 49.2638663729166], ""type"": ""Point""}";49.2638663729166, -123.126104236733
25;4648636;25-140913;00;(Tamara Wong);Hair Loss Pride;Issued;2024-12-26T12:11:36-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Kensington-Cedar Cottage;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648643;25-140920;00;PortoVan Immigration Inc.;;Issued;2024-12-30T00:24:33-08:00;2025-12-31;Consulting and Management Services;;400;Unit;601;W BROADWAY;Vancouver;BC;;V5Z 4C2;Fairview;1.0;265.0;2025-03-02T00:09:35-08:00;"{""coordinates"": [-123.118596122757, 49.2635657969344], ""type"": ""Point""}";49.2635657969344, -123.118596122757
25;4648650;25-140927;00;PROFITPAD CONSULTING INC.;;Issued;2024-12-06T14:01:22-08:00;2025-12-31;Consulting and Management Services;;;;;;Vancouver;BC;;;Mount Pleasant;1.0;265.0;2025-03-02T00:09:35-08:00;;
25;4648670;25-140947;00;ImmiGoal Immigration Services Inc;;Issued;2024-12-30T10:33:34-08:00;2025-12-31;Consulting and Management Services;;200;Unit;717;W PENDER ST;Vancouver;BC;CA;V6C 1G9;Downtown;4.0;265.0;2025-03-02T00:09:35-08:00;"{""coordinates"": [-123.114979424767, 49.2849906153494], ""type"": ""Point""}";49.2849906153494, -123.114979424767
25;4646737;25-139014;00;Dubas Engineering Inc;;Issued;2024-12-17T09:45:49-08:00;2025-12-31;Consulting and Management Services;;;;;;Burnaby;BC;CA;;;4.0;265.0;2025-03-02T00:09:33-08:00;;
25;4646992;25-139269;00;Illume Consulting Corp;;Issued;2024-12-13T07:38:35-08:00;2025-12-31;Consulting and Management Services;;;;;;West Vancouver;BC;CA;;Out of Town;1.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647022;25-139299;00;Kwela Leadership and Talent Management Inc;;Issued;2024-12-05T08:31:11-08:00;2025-12-31;Consulting and Management Services;;;;;;West Vancouver;BC;CA;;;7.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647048;25-139325;00;Aerotek ULC;Aerotek;Issued;2024-12-12T07:10:30-08:00;2025-12-31;Consulting and Management Services;;;;;;Burnaby;BC;CA;;;27.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647137;25-139414;00;Three Rivers Consulting Ltd;;Issued;2024-12-12T09:51:25-08:00;2025-12-31;Consulting and Management Services;;;;;;Port Coquitlam;BC;CA;;;4.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647393;25-139670;00;Woodridge Tree Consulting Arborists Ltd;;Issued;2024-12-16T11:19:38-08:00;2025-12-31;Consulting and Management Services;;;;;;Surrey;BC;CA;;;7.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647523;25-139800;00;Christina E Nikiforuk (Christina Nikiforuk);Liberate Leadership Coaching & Consulting;Issued;2024-12-10T13:46:14-08:00;2025-12-31;Consulting and Management Services;;;;;;Surrey;BC;CA;;Out of Town;1.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647530;25-139807;00;(Bill Boons);Bill Boons Consulting Services;Issued;2024-12-30T10:26:33-08:00;2025-12-31;Consulting and Management Services;;;;;;Coquitlam;BC;CA;;;1.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647572;25-139849;00;Green Spark Ventures Ltd;Green Spark Group;Issued;2024-12-27T10:54:40-08:00;2025-12-31;Consulting and Management Services;;;;;;Port Coquitlam;BC;CA;;;3.0;265.0;2025-03-02T00:09:33-08:00;;
25;4647756;25-140033;00;(Islai Rathlin);Islai Rathlin Counselling and Community Care;Issued;2024-12-04T10:02:15-08:00;2025-12-31;Consulting and Management Services;;;;;;Whitehorse;YT;CA;;Out of Town;1.0;265.0;2025-03-02T00:09:33-08:00;;
25;4648142;25-140419;00;(Janet Mohapi-Banks);Janet Mohapi-Banks Conscious Consulting;Issued;2024-12-19T10:50:57-08:00;2025-12-31;Consulting and Management Services;;;;;;North Vancouver;BC;CA;;Out of Town;1.0;265.0;2025-03-02T00:09:33-08:00;;
25;4648225;25-140502;00;Elbrus Immigration Inc;;Issued;2024-12-16T09:32:16-08:00;2025-12-31;Consulting and Management Services;;;;;;Coquitlam;BC;;;Out of Town;2.0;265.0;2025-03-02T00:09:33-08:00;;
25;4648399;25-140676;00;Calian Ltd.;;Issued;2024-12-24T08:00:02-08:00;2025-12-31;Consulting and Management Services;;;;;;Ottawa;ON;CA;;Out of Town;0.0;265.0;2025-03-02T00:09:33-08:00;;
25;4648619;25-140896;00;BMAC TECHNOLOGIES AND CONSULTING INC.;;Issued;2024-12-09T12:53:53-08:00;2025-12-31;Consulting and Management Services;;;;;;Burnaby;BC;;;Out of Town;0.0;265.0;2025-03-02T00:09:33-08:00;;
25;4686669;25-165478;00;Banks Architecture & Permitting Inc;;Issued;2024-12-19T14:01:11-08:00;2025-12-31;Consulting and Management Services;;;;;;Surrey;BC;CA;;Out of Town;2.0;265.0;2025-03-02T00:09:33-08:00;;
